title,type,source,episodes,status,rating,score,scored_by,rank,popularity,members,favorites,year,season,has_year,has_season,genres,demographics
Sousou no Frieren,Tv,Manga,28,Finished Airing,PG-13 - TEENS 13 OR OLDER,9.3,686846.0,1,139,1157346,71546,2023,Fall,1,1,"Adventure, Drama, Fantasy",Shounen
Fullmetal Alchemist: Brotherhood,Tv,Manga,64,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),9.1,2227771.0,2,3,3539957,234693,2009,Spring,1,1,"Action, Adventure, Drama, Fantasy",Shounen
Steins;Gate,Tv,Visual Novel,24,Finished Airing,PG-13 - TEENS 13 OR OLDER,9.07,1470245.0,3,14,2711161,196638,2011,Spring,1,1,"Drama, Sci-Fi, Suspense",
Shingeki no Kyojin Season 3 Part 2,Tv,Manga,10,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),9.05,1705642.0,4,21,2462353,61277,2019,Spring,1,1,"Action, Drama, Suspense",Shounen
Gintama°,Tv,Manga,51,Finished Airing,PG-13 - TEENS 13 OR OLDER,9.05,264741.0,5,342,670599,17213,2015,Spring,1,1,"Action, Comedy, Sci-Fi",Shounen
One Piece Fan Letter,Tv Special,Light Novel,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,9.04,85246.0,7,2055,116392,2253,-1,Unknown,0,0,"Action, Adventure, Fantasy",Shounen
Gintama: The Final,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,9.04,81111.0,6,1519,171286,4497,-1,Unknown,0,0,"Action, Comedy, Drama, Sci-Fi",Shounen
Hunter x Hunter (2011),Tv,Manga,148,Finished Airing,PG-13 - TEENS 13 OR OLDER,9.03,1888193.0,8,8,3042089,221546,2011,Fall,1,1,"Action, Adventure, Fantasy",Shounen
Gintama',Tv,Manga,51,Finished Airing,PG-13 - TEENS 13 OR OLDER,9.02,249815.0,9,404,592569,8423,2011,Spring,1,1,"Action, Comedy, Sci-Fi",Shounen
Gintama': Enchousen,Tv,Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,9.02,174197.0,10,752,347018,3125,2012,Fall,1,1,"Action, Comedy, Sci-Fi",Shounen
Ginga Eiyuu Densetsu,Ova,Novel,110,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),9.01,84442.0,11,754,346476,17107,-1,Unknown,0,0,"Drama, Sci-Fi",
Bleach: Sennen Kessen-hen,Tv,Manga,13,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.99,343107.0,12,363,644529,22386,2022,Fall,1,1,"Action, Adventure, Supernatural",Shounen
Gintama.,Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.98,154829.0,13,779,336765,2795,2017,Winter,1,1,"Action, Comedy, Sci-Fi",Shounen
Kaguya-sama wa Kokurasetai: Ultra Romantic,Tv,Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.98,590520.0,14,167,1040194,32470,2022,Spring,1,1,"Comedy, Romance",Seinen
Fruits Basket: The Final,Tv,Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.95,264029.0,15,453,532265,20971,2021,Spring,1,1,"Drama, Romance, Supernatural",Shoujo
Clannad: After Story,Tv,Visual Novel,24,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.93,683461.0,16,120,1248888,72153,2008,Fall,1,1,"Drama, Romance",
Gintama,Tv,Manga,201,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.93,413170.0,17,147,1120592,60653,2006,Spring,1,1,"Action, Comedy, Sci-Fi",Shounen
Koe no Katachi,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.93,1718642.0,18,20,2494772,92681,-1,Unknown,0,0,"Award Winning, Drama",Shounen
Code Geass: Hangyaku no Lelouch R2,Tv,Original,25,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.91,1253308.0,19,47,1882182,79036,2008,Spring,1,1,"Action, Award Winning, Drama, Sci-Fi",
3-gatsu no Lion 2nd Season,Tv,Manga,22,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.9,209489.0,20,590,425845,15304,2017,Fall,1,1,Drama,Seinen
